<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: dM [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:22:45	0,31	0,25	0,19	0,24	0,19	0,11	0,14	0,09	0,00	0,23	0,00	0,42	0,69	0,00	0,00	3,02
12.06.2025 13:22:46	0,29	0,23	0,23	0,19	0,21	0,15	0,14	0,06	0,19	0,08	0,00	0,42	0,69	0,00	0,00	3,02
12.06.2025 13:22:47	0,31	0,24	0,22	0,26	0,15	0,18	0,14	0,09	0,00	0,00	0,26	0,42	0,34	0,56	0,92	3,02
12.06.2025 13:22:48	0,28	0,25	0,21	0,20	0,18	0,13	0,18	0,15	0,00	0,16	0,13	0,21	0,00	1,12	1,84	0,00
12.06.2025 13:22:49	0,30	0,25	0,24	0,21	0,15	0,08	0,07	0,17	0,19	0,08	0,00	0,84	0,00	0,00	0,00	1,51
12.06.2025 13:22:50	0,30	0,29	0,21	0,28	0,16	0,13	0,09	0,15	0,14	0,47	0,38	0,63	1,03	0,00	0,00	1,51
12.06.2025 13:22:51	0,26	0,20	0,23	0,28	0,15	0,13	0,20	0,06	0,10	0,16	0,38	0,42	0,34	1,69	1,84	1,51
12.06.2025 13:22:52	0,29	0,22	0,26	0,27	0,21	0,15	0,07	0,00	0,05	0,00	0,13	0,00	1,03	1,12	2,76	0,00
12.06.2025 13:22:53	0,28	0,22	0,21	0,24	0,21	0,11	0,04	0,03	0,10	0,23	0,26	0,42	0,00	0,56	1,84	3,02
12.06.2025 13:22:54	0,30	0,23	0,24	0,26	0,16	0,09	0,11	0,09	0,00	0,08	0,51	0,00	0,34	0,00	0,00	0,00
12.06.2025 13:22:55	0,33	0,26	0,24	0,21	0,25	0,13	0,09	0,17	0,10	0,16	0,00	0,21	1,03	0,00	0,92	1,51
