<Header>
User name: Carl
Location: probe cabin
# of Location: 1
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2.05 (15-06-2020)
Unit: counts/liter (differential)
C-factor: 1,00
location factor: 1,00
Comment: F2583
online data
<Data>
[d&t31.12.2035 11:50:55]	0,253 um	0,298 um	0,352 um	0,414 um	0,488 um	0,576 um	0,679 um	0,800 um	0,943 um	1,112 um	1,310 um	1,545 um	1,821 um	2,146 um	2,530 um	2,982 um
12.06.2025 13:22:40	16690,0	7720,0	4810,0	2450,0	1050,0	550,0	300,0	150,0	50,0	50,0	50,0	50,0	50,0	50,0	50,0	0,0
12.06.2025 13:22:41	15590,0	7820,0	4610,0	3450,0	1200,0	800,0	250,0	50,0	50,0	0,0	0,0	50,0	0,0	100,0	100,0	0,0
12.06.2025 13:22:42	17190,0	8480,0	4760,0	3100,0	1300,0	650,0	300,0	100,0	0,0	0,0	200,0	100,0	150,0	0,0	0,0	100,0
12.06.2025 13:22:43	16330,0	6570,0	5010,0	2750,0	1250,0	500,0	400,0	250,0	300,0	100,0	0,0	200,0	0,0	100,0	50,0	150,0
12.06.2025 13:22:44	17990,0	7320,0	4360,0	3150,0	1150,0	450,0	250,0	150,0	50,0	0,0	100,0	100,0	50,0	50,0	50,0	0,0
12.06.2025 13:22:45	16890,0	8420,0	3910,0	3000,0	1450,0	500,0	400,0	150,0	0,0	150,0	0,0	100,0	100,0	0,0	0,0	100,0
12.06.2025 13:22:46	15680,0	7520,0	4710,0	2400,0	1600,0	700,0	400,0	100,0	200,0	50,0	0,0	100,0	100,0	0,0	0,0	100,0
12.06.2025 13:22:47	17100,0	7870,0	4410,0	3200,0	1150,0	850,0	400,0	150,0	0,0	0,0	100,0	100,0	50,0	50,0	50,0	100,0
12.06.2025 13:22:48	15330,0	8170,0	4310,0	2500,0	1350,0	600,0	500,0	250,0	0,0	100,0	50,0	50,0	0,0	100,0	100,0	0,0
12.06.2025 13:22:49	16440,0	8170,0	4760,0	2650,0	1150,0	350,0	200,0	300,0	200,0	50,0	0,0	200,0	0,0	0,0	0,0	50,0
12.06.2025 13:22:50	16400,0	9480,0	4310,0	3450,0	1200,0	600,0	250,0	250,0	150,0	300,0	150,0	150,0	150,0	0,0	0,0	50,0
